1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,51,"[6, 6, 1, 7, 5, 4, 3, 8, 4, 4]",37,11,0.15156346948372282,1,0.005,-1
3,0,37,"[3, 3, 3, 3, 6, 2, 2, 6, 2, 2]",19,13,0.1482261003642173,1,0.005,-1
4,0,160,"[1, 2, 4, 8, 4, 2, 1, 2, 4, 5]",23,10,0.21798814304124778,1,0.005,-1
5,0,293,"[6, 8, 4, 7, 3, 8, 11, 4, 9, 8]",50,18,0.13018284439971947,1,0.005,-1
6,0,193,"[4, 3, 2, 3, 2, 7, 4, 4, 2, 4]",19,16,0.14008657633978486,1,0.005,-1
7,0,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]",52,16,0.10143226934504496,1,0.005,-1
8,0,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]",16,11,0.2940003346204622,1,0.005,-1
9,0,134,"[3, 4, 4, 1, 3, 4, 3, 6, 6, 3]",22,15,0.14140063645066747,1,0.005,-1
10,0,53,"[5, 3, 8, 6, 6, 3, 1, 7, 6, 2]",37,10,0.18498502719649632,1,0.005,-1
11,0,299,"[3, 3, 5, 5, 5, 3, 5, 4, 3, 2]",19,19,0.10876218283182298,1,0.005,-1
12,0,122,"[6, 6, 5, 4, 7, 7, 4, 7, 6, 2]",40,14,0.11763978054310188,1,0.005,-1
13,0,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]",36,12,0.11229587618059365,1,0.005,-1
14,0,166,"[6, 6, 11, 4, 9, 3, 2, 7, 4, 7]",44,15,0.16015062809756503,1,0.005,-1
15,0,184,"[4, 5, 2, 7, 6, 2, 1, 4, 5, 4]",28,12,0.1693028598082965,1,0.005,-1
16,0,268,"[2, 8, 5, 2, 6, 0, 3, 2, 1, 5]",17,17,0.2708989018213027,1,0.005,-1
17,0,132,"[6, 7, 5, 2, 2, 6, 2, 7, 4, 0]",28,13,0.24540349497591632,1,0.005,-1
18,0,88,"[4, 5, 6, 6, 13, 7, 5, 3, 5, 7]",49,12,0.14962220557440745,1,0.005,-1
19,0,109,"[2, 2, 3, 7, 3, 4, 1, 4, 4, 3]",17,16,0.16616530279221278,1,0.005,-1
20,0,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]",12,15,0.10193976157041927,1,0.005,-1
21,0,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]",20,10,0.21381053365844685,1,0.005,-1
22,0,93,"[3, 3, 7, 6, 3, 1, 10, 7, 3, 4]",32,15,0.19034368151645778,1,0.005,-1
23,0,145,"[2, 2, 4, 6, 8, 6, 1, 3, 3, 8]",33,10,0.21395316945455545,1,0.005,-1
24,0,66,"[1, 5, 6, 6, 6, 10, 6, 6, 5, 8]",44,15,0.15446397077271165,1,0.005,-1
25,0,80,"[4, 4, 4, 7, 3, 4, 13, 7, 2, 6]",43,11,0.17395586988258657,1,0.005,-1
26,0,73,"[7, 6, 4, 4, 7, 5, 6, 9, 5, 2]",42,13,0.1248602196982708,1,0.005,-1
27,0,214,"[9, 5, 2, 9, 3, 5, 9, 4, 9, 4]",41,18,0.16748946974289552,1,0.005,-1
28,0,211,"[6, 2, 5, 7, 5, 7, 4, 4, 8, 6]",40,14,0.13358769360580686,1,0.005,-1
29,0,152,"[5, 5, 1, 5, 3, 4, 4, 4, 1, 7]",23,16,0.17542417469062693,1,0.005,-1
30,0,58,"[2, 3, 5, 3, 5, 4, 2, 7, 5, 7]",30,13,0.14486284412799727,1,0.005,-1
31,0,206,"[5, 8, 9, 7, 10, 7, 4, 8, 4, 8]",52,18,0.10271579702091665,1,0.005,-1
32,0,192,"[2, 8, 7, 9, 2, 5, 4, 6, 13, 3]",44,15,0.19127075199943766,1,0.005,-1
33,0,172,"[6, 4, 3, 3, 7, 4, 4, 4, 5, 6]",28,18,0.10627995757510497,1,0.005,-1
34,0,137,"[4, 6, 3, 6, 2, 2, 5, 6, 2, 2]",25,13,0.1486049836621881,1,0.005,-1
35,0,46,"[3, 4, 3, 6, 8, 5, 3, 4, 5, 3]",29,15,0.12781939373293874,1,0.005,-1
36,0,74,"[3, 9, 0, 2, 2, 3, 6, 5, 4, 5]",25,14,0.2383938981192103,1,0.005,-1
37,0,213,"[2, 5, 3, 2, 2, 1, 3, 5, 5, 5]",23,10,0.15284205636996437,1,0.005,-1
38,0,223,"[7, 5, 5, 3, 3, 3, 9, 11, 7, 6]",48,11,0.1436088724488854,1,0.005,-1
39,0,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]",33,16,0.26297014641847566,1,0.005,-1
