1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]",38,17,0.17606786745500966,1,0.005,-1
3,0,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]",31,16,0.26771571846760056,1,0.005,-1
4,0,42,"[5, 5, 5, 3, 5, 3, 1, 6, 6, 5]",34,10,0.13390806429629565,1,0.005,-1
5,0,26,"[2, 4, 4, 3, 3, 5, 3, 2, 4, 1]",21,10,0.14349832872834073,1,0.005,-1
6,0,30,"[1, 3, 1, 6, 5, 2, 0, 2, 2, 2]",12,12,0.2624433352693839,1,0.005,-1
7,0,33,"[5, 12, 5, 8, 2, 3, 5, 10, 9, 4]",48,15,0.16116229662681003,1,0.005,-1
8,0,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]",17,17,0.2625798367190598,1,0.005,-1
9,0,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]",12,15,0.10816605893847764,1,0.005,-1
10,0,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]",32,17,0.12231976058459511,1,0.005,-1
11,0,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]",42,12,0.13628383763268043,1,0.005,-1
12,0,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]",29,10,0.13685495494205518,1,0.005,-1
13,0,40,"[6, 4, 3, 8, 6, 7, 4, 4, 7, 6]",40,15,0.11283336418322637,1,0.005,-1
14,0,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]",15,13,0.18191017407292348,1,0.005,-1
15,0,49,"[4, 4, 4, 4, 4, 9, 4, 11, 5, 4]",36,17,0.12844863490940442,1,0.005,-1
16,0,48,"[10, 8, 3, 3, 7, 10, 6, 5, 7, 2]",47,14,0.1644070332712964,1,0.005,-1
17,0,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]",14,17,0.22856803428595832,1,0.005,-1
18,0,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]",35,17,0.20581720803647757,1,0.005,-1
