1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,0,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]",1222,408,0.6644187131042979,1,0.005,-1
3,0,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]",4641,1548,0.7028928685459928,1,0.005,-1
4,0,17,"[0, 26, 1463, 1379, 335, 60, 0, 17, 2373, 0]",4239,1414,0.52106062735732,1,0.005,-1
5,0,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]",1972,658,0.0,1,0.005,-1
6,0,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]",4297,1433,0.6541440715899297,1,0.005,-1
7,0,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]",1437,480,0.5461692855716429,1,0.005,-1
8,0,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]",1600,534,0.5387657443836079,1,0.005,-1
9,0,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]",2829,943,0.6412535648036622,1,0.005,-1
10,0,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]",374,125,0.5689067328878541,1,0.005,-1
11,0,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]",3949,1317,0.6642112104359419,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,1,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]",2337,779,0.5310852547138758,1,0.005,-1
3,1,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]",2829,943,0.6412535648036622,1,0.005,-1
4,1,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]",1972,658,0.0,1,0.005,-1
5,1,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]",4577,1526,0.6933633656165747,1,0.005,-1
6,1,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]",1222,408,0.6644187131042979,1,0.005,-1
7,1,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]",2709,904,0.6590232166651764,1,0.005,-1
8,1,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]",3949,1317,0.6642112104359419,1,0.005,-1
9,1,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]",942,314,0.5393214584665168,1,0.005,-1
10,1,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]",1437,480,0.5461692855716429,1,0.005,-1
11,1,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]",4297,1433,0.6541440715899297,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,2,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]",4641,1548,0.7028928685459928,1,0.005,-1
3,2,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]",1972,658,0.0,1,0.005,-1
4,2,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]",1905,636,0.6822258062273266,1,0.005,-1
5,2,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]",4577,1526,0.6933633656165747,1,0.005,-1
6,2,17,"[0, 26, 1463, 1379, 335, 60, 0, 17, 2373, 0]",4239,1414,0.52106062735732,1,0.005,-1
7,2,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]",1600,534,0.5387657443836079,1,0.005,-1
8,2,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]",942,314,0.5393214584665168,1,0.005,-1
9,2,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]",4297,1433,0.6541440715899297,1,0.005,-1
10,2,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]",3004,1002,0.5122758905004429,1,0.005,-1
11,2,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]",2337,779,0.5310852547138758,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,3,15,"[31, 0, 0, 1785, 0, 16, 4, 756, 2856, 0]",4086,1362,0.5811008130835212,1,0.005,-1
3,3,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]",942,314,0.5393214584665168,1,0.005,-1
4,3,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]",1905,636,0.6822258062273266,1,0.005,-1
5,3,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]",4641,1548,0.7028928685459928,1,0.005,-1
6,3,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]",1600,534,0.5387657443836079,1,0.005,-1
7,3,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]",4577,1526,0.6933633656165747,1,0.005,-1
8,3,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]",374,125,0.5689067328878541,1,0.005,-1
9,3,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]",3004,1002,0.5122758905004429,1,0.005,-1
10,3,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]",1972,658,0.0,1,0.005,-1
11,3,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]",2709,904,0.6590232166651764,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,4,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]",2709,904,0.6590232166651764,1,0.005,-1
3,4,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]",3004,1002,0.5122758905004429,1,0.005,-1
4,4,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]",1437,480,0.5461692855716429,1,0.005,-1
5,4,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]",2337,779,0.5310852547138758,1,0.005,-1
6,4,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]",2829,943,0.6412535648036622,1,0.005,-1
7,4,16,"[3628, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2721,907,0.7261288536692153,1,0.005,-1
8,4,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]",374,125,0.5689067328878541,1,0.005,-1
9,4,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]",4297,1433,0.6541440715899297,1,0.005,-1
10,4,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]",951,318,0.6209584731494951,1,0.005,-1
11,4,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]",1600,534,0.5387657443836079,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,5,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]",1222,408,0.6644187131042979,1,0.005,-1
3,5,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]",951,318,0.6209584731494951,1,0.005,-1
4,5,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]",4577,1526,0.6933633656165747,1,0.005,-1
5,5,16,"[3628, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2721,907,0.7261288536692153,1,0.005,-1
6,5,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]",2829,943,0.6412535648036622,1,0.005,-1
7,5,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]",3949,1317,0.6642112104359419,1,0.005,-1
8,5,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]",1972,658,0.0,1,0.005,-1
9,5,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]",2337,779,0.5310852547138758,1,0.005,-1
10,5,15,"[31, 0, 0, 1785, 0, 16, 4, 756, 2856, 0]",4086,1362,0.5811008130835212,1,0.005,-1
11,5,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]",4641,1548,0.7028928685459928,1,0.005,-1
1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
2,6,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]",3949,1317,0.6642112104359419,1,0.005,-1
3,6,8,"[1, 3599, 0, 0, 0, 0, 0, 0, 0, 0]",2700,900,0.7141273126040879,1,0.005,-1
4,6,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]",4297,1433,0.6541440715899297,1,0.005,-1
5,6,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]",1222,408,0.6644187131042979,1,0.005,-1
